id,discipline,statement,source,page,stage,reviewStatus,flags,reviewLevel,semanticVerdict,location
ca_Mrc7LZYx,艺术,能演奏简单的锣鼓经片段或其他节奏型，并进行独奏、合奏或为演唱和游戏伴奏,• 会演奏简单的锣鼓经片段或其他节奏型，能进行独奏、合奏或为演唱和游戏伴奏。,24,"{""min"": ""G1"", ""max"": ""G2""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:2
ca_9MTwuMQj,艺术,能听辨音乐中的情绪和情感变化，并判断是哪些音乐要素引起,· 能听辨音乐中的情绪和情感变化，并判断是哪些音乐要素引起,29,"{""min"": ""G3"", ""max"": ""G5""}",ai-reviewed,"[""A13""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:7
ca_HDJJgXgG,艺术,能根据情感表达和生活需要，为具体情境选用合适的音乐,初步了解不同体裁与形式、不同风格的音乐与生活的关系，能根据情感表达和生活需要，选用合适的音乐。,30,"{""min"": ""G3"", ""max"": ""G5""}",ai-reviewed,"[""A08"", ""A13""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:8
ca_CLymqGRK,艺术,能从音乐要素的角度简单分析音乐情绪、情感产生变化的原因,·能听辨音乐中的情绪和情感变化，能从音乐要素的角度简单分析音乐情绪、情感产生变化的原因。,31,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A13""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:10
ca_3cFkErs7,艺术,能区分歌曲的不同类别和演唱形式,·能区分歌曲的不同类别和演唱形式；,31,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:13
ca_SibDLmx3,艺术,能区分我国有代表性的地区和民族音乐的风格,能区分我国有代表性的地区和民族音乐的风格。,31,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:15
ca_4Rj3vE85,艺术,能说出音乐与舞蹈、戏剧、影视在表现形式上的区别和联系,• 初步了解音乐在舞蹈、戏剧（含戏曲）、影视（含数字媒体艺术）等综合艺术中的作用，能说出它们在表现形式上的区别和联系。,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:16
ca_UNbvxHKe,艺术,能根据情感表达或与人交流的需要，选用合适的音乐,• 在生活中，能根据情感表达或与人交流的需要，选用合适的音乐。,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A13""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:18
ca_NBdvkmXC,艺术,能说出所听乐曲的体裁、类别和表现形式，并分析其特点与表现作用,• 能区分所听音乐的体裁、类别和表现形式，运用所学知识分析其特点和表现作用，阐述音乐表现要素与体裁、形式之间的关系；,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:19
ca_SxrKsY92,艺术,能区分所听音乐的体裁、类别和表现形式，并运用所学知识分析其特点和表现作用,• 能区分所听音乐的体裁、类别和表现形式，运用所学知识分析其特点和表现作用，阐述音乐表现要素与体裁、形式之间的关系；,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A09""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:20
ca_n2A3hBPG,艺术,能运用所学知识和听觉经验区分中国民歌的基本体裁,• 感知、了解中国民族音乐的体裁、形式和审美特征，能运用所学知识和听觉经验，区分民歌的基本体裁，对我国有代表性的民歌或器乐曲的体裁、特点、风格、意蕴等作出判断和简单描述。,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:21
ca_MQCrMQfj,艺术,能对有代表性的世界民族民间音乐及优秀创作作品的体裁、形式、审美特征和风格类型作出判断和简单描述,• 感知、了解有代表性的世界民族民间音乐，以及优秀创作作品的体裁、形式、审美特征和风格类型，能作出判断和简单描述。,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:22
ca_tYiB4tEC,艺术,能对舞蹈、戏剧（含戏曲）、影视（含数字媒体艺术）等姊妹艺术中音乐的特点及其表现作用作出分析和评价,• 能对舞蹈、戏剧（含戏曲）、影视（含数字媒体艺术）等姊妹艺术中音乐的特点及其表现作用作出分析和评价。,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:23
ca_HNcVRaNT,艺术,熟悉常用音乐记号，在演唱中能正确地加以表现或根据指挥提示调整自己的演唱,· 熟悉常用音乐记号，在演唱中能正确地加以表现或根据指挥提示调整自己的演唱；,36,"{""min"": ""G6"", ""max"": ""G7""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:29
ca_JQ2P7v3R,艺术,能比较顺畅地识读简单乐谱,• 具备识谱能力，能比较顺畅地识读简单乐谱。,38,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:33
ca_P75d86DG,艺术,能在演奏中融入个性化的理解和创意，表现音乐的风格和特点,· 能在演奏中融入个性化的理解和创意，表现音乐的风格和特点。,41,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:45
ca_Y65MiK6b,艺术,运用乐器编创和表现具有完整结构的短小音乐作品，表达自己的想法和情感,运用乐器编创和表现具有完整结构的短小音乐作品，表达自己的想法和情感。,41,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A13""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:47
ca_HueWm8JV,艺术,能根据要求，采用合适的方式进行即兴创作，完成配乐或伴奏,• 能根据要求，采用合适的方式进行即兴创作，完成配乐或伴奏。,44,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:52
ca_ViFhCEpr,艺术,按要求独立或与他人合作编创、表现有重复和变化的节奏或旋律,• 按要求独立或与他人合作编创、表现有重复和变化的节奏或旋律；,44,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A09""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:53
ca_KZnXdrmV,艺术,能构思音乐创作的主题和内容，并运用一定的技法完成富有新意的节奏型、简单歌曲或乐曲编创,·能构思音乐创作的主题和内容，并运用一定的技法完成富有新意的节奏型、简单歌曲或乐曲编创。,45,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:54
ca_aeXFwdhF,艺术,能运用相关软件或其他技术，进行简单的音乐编创或编辑,·能运用相关软件或其他技术，进行简单的音乐编创或编辑。,45,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:55
ca_ZybYqDTi,艺术,能说出一段舞蹈或戏剧片段的审美特征与风格特点，并解释其表现内容和内在意蕴,7年级· 能感知和了解舞蹈、戏剧（含戏曲）等综合性表演艺术的审美特征与风格特点，理解作品的表现内容和内在意蕴。,48,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A09""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:59
ca_KzbhtJPw,艺术,能对音乐在舞蹈、戏剧（含戏曲）、影视（含数字媒体艺术）等艺术中的表现作用作出一定的分析评价,· 能对音乐在舞蹈、戏剧（含戏曲）、影视（含数字媒体艺术）等艺术中的表现作用作出一定的分析评价。,48,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:62
ca_y8igaEis,艺术,能用动作、人声、乐器及其他声音材料进行模仿或表现,·能发现自然界和生活中一些有规律或有特点的声音，能用动作、人声、乐器及其他声音材料进行模仿或表现。,51,"{""min"": ""G3"", ""max"": ""G5""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:67
ca_9h3jXhQd,艺术,能在家庭或社会音乐活动中表演节目或提供服务,积极参加家庭或社会的音乐活动，能在其中承担表演或服务的任务。,52,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:77
ca_JuwMpqAG,艺术,能在艺术活动结束后，收拾整理工具和材料，保持课桌和教室整洁,· 在活动结束时，能收拾、整理工具和材料，保持课桌和教室的整洁。,57,"{""min"": ""G1"", ""max"": ""G1""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:87
ca_E7X5tLJn,艺术,能使用图形化工具和简单的程序语言设计日常物品与居室环境,• 尝试通过图形化工具，运用简单的程序语言，设计日常物品与居室环境，体验编程与设计的关系。,64,"{""min"": ""G6"", ""max"": ""G7""}",ai-reviewed,"[""A09""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:94
ca_Rg2mNCdA,艺术,能提出各种构想，尝试用多种表现形式和方法创作美术作品,• 能提出各种构想，尝试用多种表现形式和方法创作美术作品。,68,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:97
ca_AmiAFxFQ,艺术,能主动探寻解决方案，持之以恒地认真完成创作,• 在创作中遇到问题时，能主动探寻解决方案，持之以恒地认真完成创作。,68,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:98
ca_CAPMuZru,艺术,能根据需要设计海报、请柬等,· 能根据需要设计海报、请柬等。,69,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A09""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:100
